iter	Passed	Remaining
0	10	25212
1	15	19285
2	20	17307
3	25	16083
4	30	15079
5	34	14314
6	38	13816
7	42	13160
8	45	12641
9	49	12439
10	55	12591
11	61	12807
12	64	12408
13	69	12266
14	72	12050
15	76	11902
16	80	11695
17	84	11655
18	88	11575
19	92	11458
20	96	11425
21	100	11290
22	104	11222
23	107	11052
24	111	11003
25	114	10896
26	118	10828
27	121	10693
28	125	10656
29	128	10588
30	132	10536
31	136	10493
32	139	10424
33	142	10368
34	147	10388
35	152	10410
36	155	10373
37	159	10345
38	162	10267
39	166	10210
40	169	10158
41	172	10109
42	176	10063
43	179	10025
44	183	9991
45	187	9998
46	191	9977
47	194	9951
48	198	9929
49	201	9887
50	206	9897
51	210	9902
52	213	9847
53	216	9813
54	222	9875
55	225	9859
56	229	9836
57	234	9888
58	238	9879
59	242	9852
60	245	9816
61	249	9796
62	252	9773
63	256	9771
64	260	9750
65	264	9747
66	267	9709
67	271	9716
68	275	9707
69	279	9704
70	283	9688
71	286	9672
72	290	9660
73	293	9636
74	297	9624
75	301	9604
76	304	9589
77	308	9594
78	312	9579
79	316	9566
80	320	9575
81	323	9545
82	328	9554
83	331	9534
84	335	9532
85	339	9534
86	342	9511
87	346	9503
88	350	9501
89	354	9498
90	358	9494
91	362	9495
92	366	9487
93	370	9477
94	374	9473
95	377	9446
96	380	9430
97	384	9415
98	388	9420
99	391	9396
100	394	9368
101	398	9357
102	401	9349
103	405	9347
104	409	9335
105	412	9327
106	416	9307
107	419	9299
108	422	9269
109	425	9250
110	428	9228
111	432	9216
112	435	9208
113	439	9202
114	443	9191
115	445	9160
116	449	9157
117	453	9149
118	456	9140
119	460	9133
120	463	9119
121	467	9102
122	470	9100
123	474	9091
124	477	9080
125	481	9063
126	484	9047
127	487	9043
128	491	9038
129	495	9025
130	498	9021
131	502	9013
132	505	9003
133	509	8989
134	512	8980
135	515	8968
136	519	8961
137	522	8946
138	526	8934
139	529	8924
140	532	8909
141	535	8898
142	539	8892
143	542	8883
144	546	8876
145	549	8863
146	553	8858
147	557	8853
148	561	8853
149	565	8852
150	568	8850
151	573	8866
152	577	8852
153	580	8841
154	584	8835
155	587	8828
156	590	8813
157	593	8800
158	597	8797
159	601	8796
160	604	8784
161	608	8777
162	611	8773
163	615	8766
164	618	8758
165	621	8742
166	624	8728
167	627	8713
168	631	8707
169	634	8696
170	637	8681
171	640	8669
172	643	8662
173	647	8661
174	651	8660
175	654	8645
176	658	8641
177	661	8633
178	665	8628
179	668	8614
180	671	8608
181	675	8606
182	679	8598
183	683	8602
184	687	8608
185	691	8600
186	693	8583
187	697	8582
188	700	8564
189	703	8557
