Game,Rank
Life is Strange,132
Overwatch,27
RuneScape,141
Conan Exiles,112
It Takes Two,83
Subnautica: Below Zero,30
Mario Kart 8 Deluxe,186
Tekken 7,146
Resident Evil 7 biohazard,68
Super Mario Party,99
Black Desert Online,60
Art,31
Guild Wars 2,193
World of Warcraft,13
Brawlhalla,81
Scavengers,135
Final Fantasy XIV Online,51
Talk Shows & Podcasts,36
Poker,47
PUBG Mobile,108
Night in the Woods,143
The Legend of Zelda: Breath of the Wild,153
Red Dead Redemption 2,93
Detroit: Become Human,185
Genshin Impact,25
Sekiro: Shadows Die Twice,199
PowerWash Simulator,150
The Last of Us Part II,171
Retro,56
Returnal,46
World of Warships,62
NieR Replicant ver.1.22474487139...,117
Raid: Shadow Legends,145
Age of Empires II,70
Sports,23
Days Gone,61
Eternal Return: Black Survival,102
Travel & Outdoors,73
DayZ,35
Super Mario Maker 2,122
Pok<U+00E9>mon Sword/Shield,66
iRacing,129
Hollow Knight,161
Food & Drink,78
Pok<U+00E9>mon Trading Card Game,115
Knight Online,156
Monster Hunter Rise,89
Don't Starve Together,138
Guilty Gear: Strive,133
Chivalry 2,184
The Elder Scrolls V: Skyrim,195
The Forest,182
F1 2020,97
Yu-Gi-Oh! Duel Links,170
The Binding of Isaac: Repentance,40
Pok<U+00E9>mon GO,175
Jump King,166
SnowRunner,189
World of Tanks,48
New Pok<U+00E9>mon Snap,59
Biomutant,44
Jackbox Party Packs,198
The Elder Scrolls Online,116
Grand Theft Auto V,2
Rogue Company,196
Marbles On Stream,107
MapleStory,118
Fall Guys: Ultimate Knockout,64
Street Fighter V,76
SMITE,42
Dying Light 2: Stay Human,162
Dread Hunger,92
Hood: Outlaws & Legends,72
Super Smash Bros. Melee,119
I'm Only Sleeping,124
StarCraft II,58
Makers & Crafting,154
Games + Demos,65
FIFA Online 4,200
osu!,96
Trials Rising,167
Dark Souls III,94
Fortnite,5
Heroes of the Storm,91
Watch Parties,131
Knockout City,43
Slots,17
Dungeons & Dragons,69
Virtual Casino,197
Albion Online,192
Counter-Strike: Global Offensive,9
VRChat,82
Football Manager 2021,169
Apex Legends,7
Heroes of Might and Magic III: The Restoration of Erathia,85
Gears 5,155
Outriders,164
NBA 2K21,41
Mass Effect Legendary Edition,52
Pummel Party,172
Bloodborne,148
Assetto Corsa Competizione,158
Stardew Valley,121
Just Chatting,1
Elite: Dangerous,177
Call of Duty: Black Ops Cold War,39
Conqueror's Blade,139
Gartic Phone,86
Hearthstone,18
FIFA 21,12
Dark Souls,103
Swords of Legends Online,134
Miitopia,120
Call Of Duty: Modern Warfare,24
Halo: The Master Chief Collection,187
Crypto,84
Slay the Spire,127
VALORANT,4
Escape from Tarkov,21
RimWorld,160
Ark: Survival Evolved,45
Enlisted,140
Rust,22
Super Smash Bros. Ultimate,79
Roblox,80
DEVOUR,136
Destiny 2,26
MLB The Show 21,75
Stream Raiders,174
Madden NFL 21,176
TrackMania,87
Super Mario World,194
Brawl Stars,109
Mario Kart 8,114
Paladins,178
Hunt: Showdown,95
League of Legends,3
Teamfight Tactics,20
Rocket League,19
Tibia,67
Music,14
Epic Seven,151
League of Legends: Wild Rift,90
Gwent: The Witcher Card Game,142
PLAYERUNKNOWN'S BATTLEGROUNDS,28
Resident Evil 4,179
Farming Simulator 19,173
The Sims 4,98
Among Us,29
Sea of Thieves,50
Summoners War: Sky Arena,144
LOST ARK,49
Chess,32
Microsoft Flight Simulator,190
Path of Exile,33
Special Events,37
Dark Souls II,180
Dota 2,10
Animal Crossing: New Horizons,105
Warcraft III,100
Mortal Kombat 11,157
Old School RuneScape,57
Lineage 2,181
Legends of Runeterra,101
StarCraft,125
Minecraft,8
Divinity: Original Sin II,147
Tabletop RPGs,88
Super Mario 64,191
Euro Truck Simulator 2,110
Arma 3,165
Tom Clancy's Rainbow Six Siege,15
Super Mario Odyssey,149
Battlefield V,152
ASMR,38
Clash Royale,54
GeoGuessr,77
Garena Free Fire,34
First Class Trouble,137
Worms W.M.D,168
Motorsport Manager,63
Terraria,111
Valheim,126
Diablo III,188
Forza Horizon 4,183
Project Zomboid,128
7 Days to Die,104
Phasmophobia,74
Call of Duty: Warzone,6
Subnautica,106
Star Citizen,113
Dofus,163
Resident Evil Village,11
Dead by Daylight,16
Magic: The Gathering,53
Warframe,123
Science & Technology,71
Call of Duty: Mobile,130
"Pools, Hot Tubs, and Beaches",55
Assassin's Creed Valhalla,159
