Game,Rank
Life is Strange,122
Overwatch,24
RuneScape,172
Conan Exiles,83
It Takes Two,61
Subnautica: Below Zero,34
Mario Kart 8 Deluxe,170
Tekken 7,157
Resident Evil 7 biohazard,74
Super Mario Party,162
Black Desert Online,58
Art,30
Guild Wars 2,159
World of Warcraft,13
Brawlhalla,89
Scavengers,151
Final Fantasy XIV Online,33
Talk Shows & Podcasts,37
Poker,47
PUBG Mobile,116
Night in the Woods,153
The Legend of Zelda: Breath of the Wild,149
Red Dead Redemption 2,95
Detroit: Become Human,196
Genshin Impact,28
Sekiro: Shadows Die Twice,193
PowerWash Simulator,147
The Last of Us Part II,107
Retro,54
Returnal,63
World of Warships,76
NieR Replicant ver.1.22474487139...,85
Raid: Shadow Legends,177
Age of Empires II,67
Sports,23
Days Gone,56
Eternal Return: Black Survival,108
Travel & Outdoors,68
DayZ,42
Super Mario Maker 2,135
Pok<U+00E9>mon Sword/Shield,60
iRacing,137
Hollow Knight,165
Food & Drink,80
Pok<U+00E9>mon Trading Card Game,146
Knight Online,190
Monster Hunter Rise,59
Don't Starve Together,99
Guilty Gear: Strive,126
Chivalry 2,188
The Elder Scrolls V: Skyrim,179
The Forest,167
F1 2020,101
Yu-Gi-Oh! Duel Links,195
The Binding of Isaac: Repentance,36
Pok<U+00E9>mon GO,192
Jump King,148
SnowRunner,110
World of Tanks,49
New Pok<U+00E9>mon Snap,79
Biomutant,44
Jackbox Party Packs,183
The Elder Scrolls Online,133
Grand Theft Auto V,2
Rogue Company,178
Marbles On Stream,123
MapleStory,145
Fall Guys: Ultimate Knockout,62
Street Fighter V,90
SMITE,48
Dying Light 2: Stay Human,136
Dread Hunger,112
Hood: Outlaws & Legends,50
Super Smash Bros. Melee,143
I'm Only Sleeping,131
StarCraft II,72
Makers & Crafting,161
Games + Demos,52
FIFA Online 4,154
osu!,87
Trials Rising,197
Dark Souls III,86
Fortnite,7
Heroes of the Storm,111
Watch Parties,173
Knockout City,55
Slots,21
Dungeons & Dragons,71
Virtual Casino,199
Albion Online,194
Counter-Strike: Global Offensive,8
VRChat,77
Football Manager 2021,184
Apex Legends,10
Heroes of Might and Magic III: The Restoration of Erathia,94
Gears 5,158
Outriders,84
NBA 2K21,41
Mass Effect Legendary Edition,40
Pummel Party,168
Bloodborne,152
Assetto Corsa Competizione,134
Stardew Valley,120
Just Chatting,1
Elite: Dangerous,106
Call of Duty: Black Ops Cold War,35
Conqueror's Blade,176
Gartic Phone,66
Hearthstone,18
FIFA 21,12
Dark Souls,127
Swords of Legends Online,102
Miitopia,98
Call Of Duty: Modern Warfare,22
Halo: The Master Chief Collection,164
Crypto,93
Slay the Spire,169
VALORANT,5
Escape from Tarkov,19
RimWorld,186
Ark: Survival Evolved,38
Enlisted,92
Rust,25
Super Smash Bros. Ultimate,81
Roblox,75
DEVOUR,182
Destiny 2,32
MLB The Show 21,78
Stream Raiders,155
Madden NFL 21,150
TrackMania,130
Super Mario World,198
Brawl Stars,109
Mario Kart 8,97
Paladins,174
Hunt: Showdown,82
League of Legends,3
Teamfight Tactics,20
Rocket League,16
Tibia,73
Music,17
Epic Seven,171
League of Legends: Wild Rift,69
Gwent: The Witcher Card Game,187
PLAYERUNKNOWN'S BATTLEGROUNDS,27
Resident Evil 4,105
Farming Simulator 19,175
The Sims 4,115
Among Us,26
Sea of Thieves,46
Summoners War: Sky Arena,185
LOST ARK,43
Chess,29
Microsoft Flight Simulator,140
Path of Exile,45
Special Events,64
Dark Souls II,189
Dota 2,11
Animal Crossing: New Horizons,104
Warcraft III,132
Mortal Kombat 11,160
Old School RuneScape,57
Lineage 2,180
Legends of Runeterra,121
StarCraft,139
Minecraft,6
Divinity: Original Sin II,125
Tabletop RPGs,118
Super Mario 64,181
Euro Truck Simulator 2,114
Arma 3,103
Tom Clancy's Rainbow Six Siege,15
Super Mario Odyssey,138
Battlefield V,88
ASMR,39
Clash Royale,91
GeoGuessr,117
Garena Free Fire,31
First Class Trouble,156
Worms W.M.D,200
Motorsport Manager,141
Terraria,129
Valheim,100
Diablo III,128
Forza Horizon 4,166
Project Zomboid,163
7 Days to Die,113
Phasmophobia,65
Call of Duty: Warzone,4
Subnautica,119
Star Citizen,144
Dofus,191
Resident Evil Village,9
Dead by Daylight,14
Magic: The Gathering,51
Warframe,142
Science & Technology,70
Call of Duty: Mobile,124
"Pools, Hot Tubs, and Beaches",53
Assassin's Creed Valhalla,96
