Game,Rank
Life is Strange,133
Overwatch,25
RuneScape,159
Conan Exiles,113
It Takes Two,63
Subnautica: Below Zero,38
Mario Kart 8 Deluxe,188
Tekken 7,167
Resident Evil 7 biohazard,77
Super Mario Party,106
Black Desert Online,61
Art,34
Guild Wars 2,190
World of Warcraft,13
Brawlhalla,84
Scavengers,142
Final Fantasy XIV Online,43
Talk Shows & Podcasts,41
Poker,46
PUBG Mobile,117
Night in the Woods,165
The Legend of Zelda: Breath of the Wild,174
Red Dead Redemption 2,90
Detroit: Become Human,195
Genshin Impact,28
Sekiro: Shadows Die Twice,186
PowerWash Simulator,198
The Last of Us Part II,138
Retro,56
Returnal,54
World of Warships,74
NieR Replicant ver.1.22474487139...,100
Raid: Shadow Legends,180
Age of Empires II,73
Sports,29
Days Gone,66
Eternal Return: Black Survival,114
Travel & Outdoors,65
DayZ,37
Super Mario Maker 2,137
Pok<U+00E9>mon Sword/Shield,68
iRacing,131
Hollow Knight,172
Food & Drink,79
Pok<U+00E9>mon Trading Card Game,135
Knight Online,194
Monster Hunter Rise,70
Don't Starve Together,132
Guilty Gear: Strive,125
Chivalry 2,150
The Elder Scrolls V: Skyrim,193
The Forest,171
F1 2020,94
Yu-Gi-Oh! Duel Links,197
The Binding of Isaac: Repentance,33
Pok<U+00E9>mon GO,192
Jump King,163
SnowRunner,143
World of Tanks,49
New Pok<U+00E9>mon Snap,57
Biomutant,36
Jackbox Party Packs,175
The Elder Scrolls Online,123
Grand Theft Auto V,2
Rogue Company,148
Marbles On Stream,119
MapleStory,140
Fall Guys: Ultimate Knockout,55
Street Fighter V,86
SMITE,47
Dying Light 2: Stay Human,87
Dread Hunger,118
Hood: Outlaws & Legends,67
Super Smash Bros. Melee,152
I'm Only Sleeping,124
StarCraft II,72
Makers & Crafting,157
Games + Demos,52
FIFA Online 4,161
osu!,88
Trials Rising,185
Dark Souls III,89
Fortnite,6
Heroes of the Storm,102
Watch Parties,136
Knockout City,39
Slots,19
Dungeons & Dragons,62
Virtual Casino,199
Albion Online,187
Counter-Strike: Global Offensive,8
VRChat,80
Football Manager 2021,177
Apex Legends,9
Heroes of Might and Magic III: The Restoration of Erathia,83
Gears 5,146
Outriders,97
NBA 2K21,42
Mass Effect Legendary Edition,48
Pummel Party,153
Bloodborne,147
Assetto Corsa Competizione,122
Stardew Valley,103
Just Chatting,1
Elite: Dangerous,139
Call of Duty: Black Ops Cold War,35
Conqueror's Blade,169
Gartic Phone,69
Hearthstone,18
FIFA 21,12
Dark Souls,105
Swords of Legends Online,115
Miitopia,112
Call Of Duty: Modern Warfare,21
Halo: The Master Chief Collection,160
Crypto,91
Slay the Spire,151
VALORANT,4
Escape from Tarkov,20
RimWorld,179
Ark: Survival Evolved,44
Enlisted,96
Rust,24
Super Smash Bros. Ultimate,81
Roblox,64
DEVOUR,129
Destiny 2,26
MLB The Show 21,82
Stream Raiders,162
Madden NFL 21,184
TrackMania,104
Super Mario World,200
Brawl Stars,110
Mario Kart 8,109
Paladins,156
Hunt: Showdown,85
League of Legends,3
Teamfight Tactics,22
Rocket League,17
Tibia,78
Music,16
Epic Seven,166
League of Legends: Wild Rift,71
Gwent: The Witcher Card Game,164
PLAYERUNKNOWN'S BATTLEGROUNDS,30
Resident Evil 4,144
Farming Simulator 19,183
The Sims 4,101
Among Us,23
Sea of Thieves,50
Summoners War: Sky Arena,181
LOST ARK,45
Chess,27
Microsoft Flight Simulator,173
Path of Exile,31
Special Events,53
Dark Souls II,176
Dota 2,11
Animal Crossing: New Horizons,99
Warcraft III,120
Mortal Kombat 11,168
Old School RuneScape,59
Lineage 2,170
Legends of Runeterra,111
StarCraft,121
Minecraft,5
Divinity: Original Sin II,155
Tabletop RPGs,98
Super Mario 64,191
Euro Truck Simulator 2,126
Arma 3,145
Tom Clancy's Rainbow Six Siege,14
Super Mario Odyssey,154
Battlefield V,130
ASMR,40
Clash Royale,75
GeoGuessr,93
Garena Free Fire,32
First Class Trouble,149
Worms W.M.D,182
Motorsport Manager,178
Terraria,108
Valheim,92
Diablo III,141
Forza Horizon 4,189
Project Zomboid,158
7 Days to Die,95
Phasmophobia,60
Call of Duty: Warzone,7
Subnautica,107
Star Citizen,116
Dofus,196
Resident Evil Village,10
Dead by Daylight,15
Magic: The Gathering,51
Warframe,134
Science & Technology,76
Call of Duty: Mobile,127
"Pools, Hot Tubs, and Beaches",58
Assassin's Creed Valhalla,128
