Game,Rank
Life is Strange,122
Overwatch,27
RuneScape,159
Conan Exiles,105
It Takes Two,66
Subnautica: Below Zero,36
Mario Kart 8 Deluxe,191
Tekken 7,183
Resident Evil 7 biohazard,75
Super Mario Party,99
Black Desert Online,60
Art,33
Guild Wars 2,198
World of Warcraft,13
Brawlhalla,83
Scavengers,127
Final Fantasy XIV Online,43
Talk Shows & Podcasts,39
Poker,45
PUBG Mobile,117
Night in the Woods,175
The Legend of Zelda: Breath of the Wild,171
Red Dead Redemption 2,88
Detroit: Become Human,194
Genshin Impact,28
Sekiro: Shadows Die Twice,196
PowerWash Simulator,199
The Last of Us Part II,149
Retro,55
Returnal,53
World of Warships,70
NieR Replicant ver.1.22474487139...,103
Raid: Shadow Legends,164
Age of Empires II,67
Sports,26
Days Gone,73
Eternal Return: Black Survival,104
Travel & Outdoors,63
DayZ,37
Super Mario Maker 2,130
Pok<U+00E9>mon Sword/Shield,64
iRacing,136
Hollow Knight,161
Food & Drink,81
Pok<U+00E9>mon Trading Card Game,124
Knight Online,185
Monster Hunter Rise,68
Don't Starve Together,141
Guilty Gear: Strive,120
Chivalry 2,143
The Elder Scrolls V: Skyrim,190
The Forest,176
F1 2020,91
Yu-Gi-Oh! Duel Links,193
The Binding of Isaac: Repentance,34
Pok<U+00E9>mon GO,189
Jump King,160
SnowRunner,146
World of Tanks,47
New Pok<U+00E9>mon Snap,58
Biomutant,35
Jackbox Party Packs,157
The Elder Scrolls Online,125
Grand Theft Auto V,2
Rogue Company,158
Marbles On Stream,111
MapleStory,140
Fall Guys: Ultimate Knockout,56
Street Fighter V,86
SMITE,46
Dying Light 2: Stay Human,80
Dread Hunger,121
Hood: Outlaws & Legends,71
Super Smash Bros. Melee,137
I'm Only Sleeping,132
StarCraft II,72
Makers & Crafting,153
Games + Demos,51
FIFA Online 4,187
osu!,87
Trials Rising,182
Dark Souls III,97
Fortnite,6
Heroes of the Storm,96
Watch Parties,126
Knockout City,38
Slots,19
Dungeons & Dragons,65
Virtual Casino,197
Albion Online,195
Counter-Strike: Global Offensive,9
VRChat,76
Football Manager 2021,169
Apex Legends,8
Heroes of Might and Magic III: The Restoration of Erathia,85
Gears 5,147
Outriders,128
NBA 2K21,41
Mass Effect Legendary Edition,49
Pummel Party,167
Bloodborne,151
Assetto Corsa Competizione,133
Stardew Valley,106
Just Chatting,1
Elite: Dangerous,145
Call of Duty: Black Ops Cold War,40
Conqueror's Blade,162
Gartic Phone,69
Hearthstone,18
FIFA 21,12
Dark Souls,107
Swords of Legends Online,118
Miitopia,112
Call Of Duty: Modern Warfare,23
Halo: The Master Chief Collection,170
Crypto,92
Slay the Spire,144
VALORANT,4
Escape from Tarkov,20
RimWorld,181
Ark: Survival Evolved,48
Enlisted,100
Rust,25
Super Smash Bros. Ultimate,82
Roblox,62
DEVOUR,119
Destiny 2,21
MLB The Show 21,84
Stream Raiders,168
Madden NFL 21,186
TrackMania,98
Super Mario World,200
Brawl Stars,115
Mario Kart 8,116
Paladins,163
Hunt: Showdown,93
League of Legends,3
Teamfight Tactics,22
Rocket League,17
Tibia,79
Music,16
Epic Seven,166
League of Legends: Wild Rift,74
Gwent: The Witcher Card Game,165
PLAYERUNKNOWN'S BATTLEGROUNDS,30
Resident Evil 4,154
Farming Simulator 19,180
The Sims 4,95
Among Us,24
Sea of Thieves,54
Summoners War: Sky Arena,172
LOST ARK,44
Chess,29
Microsoft Flight Simulator,179
Path of Exile,31
Special Events,52
Dark Souls II,174
Dota 2,11
Animal Crossing: New Horizons,101
Warcraft III,110
Mortal Kombat 11,173
Old School RuneScape,59
Lineage 2,177
Legends of Runeterra,109
StarCraft,123
Minecraft,5
Divinity: Original Sin II,156
Tabletop RPGs,90
Super Mario 64,184
Euro Truck Simulator 2,134
Arma 3,148
Tom Clancy's Rainbow Six Siege,15
Super Mario Odyssey,155
Battlefield V,139
ASMR,42
Clash Royale,77
GeoGuessr,89
Garena Free Fire,32
First Class Trouble,135
Worms W.M.D,152
Motorsport Manager,178
Terraria,114
Valheim,94
Diablo III,138
Forza Horizon 4,188
Project Zomboid,150
7 Days to Die,102
Phasmophobia,57
Call of Duty: Warzone,7
Subnautica,108
Star Citizen,113
Dofus,192
Resident Evil Village,10
Dead by Daylight,14
Magic: The Gathering,50
Warframe,131
Science & Technology,78
Call of Duty: Mobile,129
"Pools, Hot Tubs, and Beaches",61
Assassin's Creed Valhalla,142
