Game,Rank
Life is Strange,128
Overwatch,26
RuneScape,139
Conan Exiles,121
It Takes Two,81
Subnautica: Below Zero,31
Mario Kart 8 Deluxe,175
Tekken 7,145
Resident Evil 7 biohazard,67
Super Mario Party,106
Black Desert Online,59
Art,30
Guild Wars 2,191
World of Warcraft,14
Brawlhalla,80
Scavengers,134
Final Fantasy XIV Online,53
Talk Shows & Podcasts,38
Poker,45
PUBG Mobile,110
Night in the Woods,157
The Legend of Zelda: Breath of the Wild,142
Red Dead Redemption 2,92
Detroit: Become Human,196
Genshin Impact,24
Sekiro: Shadows Die Twice,195
PowerWash Simulator,167
The Last of Us Part II,186
Retro,56
Returnal,47
World of Warships,62
NieR Replicant ver.1.22474487139...,120
Raid: Shadow Legends,140
Age of Empires II,65
Sports,22
Days Gone,61
Eternal Return: Black Survival,103
Travel & Outdoors,73
DayZ,37
Super Mario Maker 2,117
Pok<U+00E9>mon Sword/Shield,66
iRacing,125
Hollow Knight,158
Food & Drink,84
Pok<U+00E9>mon Trading Card Game,113
Knight Online,160
Monster Hunter Rise,90
Don't Starve Together,138
Guilty Gear: Strive,137
Chivalry 2,178
The Elder Scrolls V: Skyrim,197
The Forest,184
F1 2020,100
Yu-Gi-Oh! Duel Links,170
The Binding of Isaac: Repentance,39
Pok<U+00E9>mon GO,177
Jump King,168
SnowRunner,183
World of Tanks,48
New Pok<U+00E9>mon Snap,60
Biomutant,46
Jackbox Party Packs,200
The Elder Scrolls Online,115
Grand Theft Auto V,2
Rogue Company,199
Marbles On Stream,105
MapleStory,116
Fall Guys: Ultimate Knockout,64
Street Fighter V,75
SMITE,41
Dying Light 2: Stay Human,192
Dread Hunger,89
Hood: Outlaws & Legends,69
Super Smash Bros. Melee,119
I'm Only Sleeping,126
StarCraft II,58
Makers & Crafting,155
Games + Demos,79
FIFA Online 4,198
osu!,94
Trials Rising,149
Dark Souls III,95
Fortnite,6
Heroes of the Storm,93
Watch Parties,131
Knockout City,40
Slots,13
Dungeons & Dragons,68
Virtual Casino,194
Albion Online,188
Counter-Strike: Global Offensive,8
VRChat,87
Football Manager 2021,163
Apex Legends,9
Heroes of Might and Magic III: The Restoration of Erathia,82
Gears 5,151
Outriders,165
NBA 2K21,42
Mass Effect Legendary Edition,52
Pummel Party,166
Bloodborne,141
Assetto Corsa Competizione,156
Stardew Valley,118
Just Chatting,1
Elite: Dangerous,169
Call of Duty: Black Ops Cold War,44
Conqueror's Blade,136
Gartic Phone,85
Hearthstone,18
FIFA 21,12
Dark Souls,104
Swords of Legends Online,133
Miitopia,122
Call Of Duty: Modern Warfare,34
Halo: The Master Chief Collection,187
Crypto,77
Slay the Spire,127
VALORANT,4
Escape from Tarkov,23
RimWorld,153
Ark: Survival Evolved,43
Enlisted,135
Rust,21
Super Smash Bros. Ultimate,74
Roblox,78
DEVOUR,143
Destiny 2,28
MLB The Show 21,76
Stream Raiders,171
Madden NFL 21,181
TrackMania,88
Super Mario World,193
Brawl Stars,108
Mario Kart 8,112
Paladins,179
Hunt: Showdown,96
League of Legends,3
Teamfight Tactics,19
Rocket League,20
Tibia,70
Music,16
Epic Seven,144
League of Legends: Wild Rift,91
Gwent: The Witcher Card Game,146
PLAYERUNKNOWN'S BATTLEGROUNDS,25
Resident Evil 4,172
Farming Simulator 19,176
The Sims 4,97
Among Us,29
Sea of Thieves,51
Summoners War: Sky Arena,147
LOST ARK,50
Chess,27
Microsoft Flight Simulator,190
Path of Exile,32
Special Events,35
Dark Souls II,173
Dota 2,11
Animal Crossing: New Horizons,102
Warcraft III,99
Mortal Kombat 11,159
Old School RuneScape,57
Lineage 2,185
Legends of Runeterra,98
StarCraft,123
Minecraft,7
Divinity: Original Sin II,148
Tabletop RPGs,86
Super Mario 64,180
Euro Truck Simulator 2,109
Arma 3,161
Tom Clancy's Rainbow Six Siege,15
Super Mario Odyssey,150
Battlefield V,152
ASMR,36
Clash Royale,54
GeoGuessr,83
Garena Free Fire,33
First Class Trouble,154
Worms W.M.D,174
Motorsport Manager,63
Terraria,111
Valheim,124
Diablo III,182
Forza Horizon 4,189
Project Zomboid,129
7 Days to Die,101
Phasmophobia,72
Call of Duty: Warzone,5
Subnautica,107
Star Citizen,114
Dofus,162
Resident Evil Village,10
Dead by Daylight,17
Magic: The Gathering,49
Warframe,132
Science & Technology,71
Call of Duty: Mobile,130
"Pools, Hot Tubs, and Beaches",55
Assassin's Creed Valhalla,164
